 Renda média domiciliar per capita - Rio de Janeiro
Renda média domic. per capita por Município
Período:2010
"Município";"Renda_média_domic._per_capita"
"330010 ANGRA DOS REIS";760,36
"330015 APERIBE";495,56
"330020 ARARUAMA";657,25
"330022 AREAL";560,51
"330023 ARMACAO DOS BUZIOS";794,15
"330025 ARRAIAL DO CABO";695,95
"330030 BARRA DO PIRAI";700,64
"330040 BARRA MANSA";684,80
"330045 BELFORD ROXO";458,59
"330050 BOM JARDIM";620,12
"330060 BOM JESUS DO ITABAPOANA";704,66
"330070 CABO FRIO";799,30
"330080 CACHOEIRAS DE MACACU";589,48
"330090 CAMBUCI";495,56
"330093 CARAPEBUS";604,45
"330095 COMENDADOR LEVY GASPARIAN";535,42
"330100 CAMPOS DOS GOYTACAZES";653,81
"330110 CANTAGALO";632,34
"330115 CARDOSO MOREIRA";448,88
"330120 CARMO";544,15
"330130 CASIMIRO DE ABREU";742,57
"330140 CONCEICAO DE MACABU";605,92
"330150 CORDEIRO";719,73
"330160 DUAS BARRAS";533,48
"330170 DUQUE DE CAXIAS";555,28
"330180 ENGENHEIRO PAULO DE FRONTIN";515,02
"330185 GUAPIMIRIM";575,83
"330187 IGUABA GRANDE";765,45
"330190 ITABORAI";565,20
"330200 ITAGUAI";586,90
"330205 ITALVA";588,08
"330210 ITAOCARA";593,57
"330220 ITAPERUNA";664,25
"330225 ITATIAIA";754,07
"330227 JAPERI";386,61
"330230 LAJE DO MURIAE";444,67
"330240 MACAE";1047,01
"330245 MACUCO";560,84
"330250 MAGE";547,50
"330260 MANGARATIBA";795,39
"330270 MARICA";868,95
"330280 MENDES";641,39
"330285 MESQUITA";607,27
"330290 MIGUEL PEREIRA";786,18
"330300 MIRACEMA";604,34
"330310 NATIVIDADE";646,66
"330320 NILOPOLIS";716,24
"330330 NITEROI";1951,11
"330340 NOVA FRIBURGO";880,31
"330350 NOVA IGUACU";549,14
"330360 PARACAMBI";556,34
"330370 PARAIBA DO SUL";590,83
"330380 PARATY";716,24
"330385 PATY DO ALFERES";551,03
"330390 PETROPOLIS";891,61
"330395 PINHEIRAL";624,47
"330400 PIRAI";625,68
"330410 PORCIUNCULA";608,21
"330411 PORTO REAL";572,83
"330412 QUATIS";528,91
"330414 QUEIMADOS";455,44
"330415 QUISSAMA";602,35
"330420 RESENDE";891,18
"330430 RIO BONITO";606,98
"330440 RIO CLARO";596,28
"330450 RIO DAS FLORES";494,09
"330452 RIO DAS OSTRAS";1024,70
"330455 RIO DE JANEIRO";1421,76
"330460 SANTA MARIA MADALENA";509,63
"330470 SANTO ANTONIO DE PADUA";645,02
"330475 SAO FRANCISCO DE ITABAPOANA";353,99
"330480 SAO FIDELIS";557,37
"330490 SAO GONCALO";640,71
"330500 SAO JOAO DA BARRA";542,22
"330510 SAO JOAO DE MERITI";568,72
"330513 SAO JOSE DE UBA";388,96
"330515 SAO JOSE DO VALE DO RIO PRETO";512,67
"330520 SAO PEDRO DA ALDEIA";697,89
"330530 SAO SEBASTIAO DO ALTO";419,42
"330540 SAPUCAIA";544,48
"330550 SAQUAREMA";647,46
"330555 SEROPEDICA";585,83
"330560 SILVA JARDIM";456,50
"330570 SUMIDOURO";473,13
"330575 TANGUA";416,43
"330580 TERESOPOLIS";831,34
"330590 TRAJANO DE MORAES";506,49
"330600 TRES RIOS";707,80
"330610 VALENCA";667,19
"330615 VARRE-SAI";416,10
"330620 VASSOURAS";674,66
"330630 VOLTA REDONDA";904,83
"Total";993,21
 Fonte: IBGE - Censos Demográficos
 Notas:
 
 O salário mínimo do último ano para o qual a série está sendo calculada torna-se a referência para toda a série. Esse valor é corrigido
 para todos com base no INPC de julho de 2010, alterando o valor da linha de pobreza e consequentemente a proporção de pobres.
 Nesta tabela, o valor de referência, salário mínimo de 2010, é de R$ 510,00.
 
 Consulte o sítio da Secretaria Estadual de Saúde e do
 IBGE para mais informações.
